,亚洲,其他,北美洲,南美洲,大洋洲,欧洲,非洲
03/01,4938,712,94,3,29,1564,2
03/08,15145,696,528,55,81,10373,81
03/15,25684,712,3315,325,280,48928,315
03/22,41064,712,29104,3213,1422,158542,1249
03/29,77597,712,133841,10256,4489,368901,4397
04/05,135849,712,333668,23510,6739,634191,8752
04/12,207968,712,566955,48376,7663,871385,13791
04/19,292679,712,789241,78458,8002,1081236,21275
04/26,383532,712,1016790,131406,8190,1263967,31075
05/03,461152,712,1258892,199460,8292,1424914,42403
05/10,579376,712,1475071,298517,8461,1621301,61085
05/17,708495,712,1663337,424955,8570,1775221,81681
05/24,869574,712,1856423,605010,8644,1897832,107388
05/31,1049345,712,2045278,843975,8725,2019338,140906
06/07,1272184,712,2258786,1112460,8790,2130708,182577
06/14,1518622,712,2460163,1385472,8850,2242081,231515
06/21,1795341,712,2702474,1705395,8998,2346947,295547
06/28,2103517,712,3029952,2097926,9241,2449309,370128
07/05,2466827,712,3438439,2463633,10011,2514705,462093
07/12,2839471,712,3935162,2841299,11378,2607243,576342
07/19,3264704,712,4492070,3215434,13397,2705315,700329
07/26,3761503,712,5064913,3683684,16048,2813954,827296
08/02,4307412,712,5599807,4183863,19625,2935388,943131
08/09,4888530,712,6062387,4691616,22894,3071872,1033584
08/16,5507545,712,6518935,5209974,25261,3220236,1106352
08/23,6145952,712,6900010,5699461,26875,3389121,1176406
08/30,6819645,712,7266916,6193073,27886,3590092,1234763
09/06,7570611,712,7628687,6679244,28570,3823431,1289425
09/13,8413244,712,7940436,7060108,28988,4104841,1343926
09/20,9284775,712,8295715,7476093,29261,4450706,1397863
09/27,10117939,712,8686136,7871545,29437,4857122,1450422
10/04,10917541,712,9069477,8243902,29562,5325907,1505757
10/11,11670269,712,9514904,8622379,29722,6012048,1567777
10/18,12366837,712,9986248,8953799,29890,6962722,1636198
10/25,13015859,712,10557416,9318504,30071,8334397,1708366
11/01,13625505,712,11216342,9666018,30177,10102980,1784449
11/08,14242929,712,12081890,9955050,30271,11912447,1866310
